Author,replace by
"Adamson, Grete N. N.","Adamson, Grete N."
"Adyshev, Djanybek","Adyshev, Djanybek M."
"Alexeyev, Mikhail","Alexeyev, Mikhail F."
"Amin, Md-Ruhul","Amin, Ruhul"
"Atakilit, A.","Atakilit, Amha"
"Audi, Said","Audi, Said H."
"Bai, Chun X.","Bai, Chunxue"
"Bai, Chun-xue","Bai, Chunxue"
"Bhattacharya, M.","Bhattacharya, Mallar"
"Billiar, T. R.","Billiar, Timothy R."
"Birukov, Konstantin G. .","Birukov, Konstantin G."
"Birukova, Anna","Birukova, Anna A."
"Birukova, Anna A. .","Birukova, Anna A."
"Black, S. M.","Black, Stephen M."
"Black, Stephen","Black, Stephen M."
"Black, Stephen M. M.","Black, Stephen M."
"Cai, Shi-xia","Cai, Shixia"
"Capelozzi, Vera L.","Capelozzi, Vera Luiza"
"Catravas, J. D.","Catravas, John D."
"Chacko, Ann-Marie","Chacko, Ann Marie"
"Chai, DongDong","Chai, Dongdong"
"Chakraborty, T.","Chakraborty, Trinad"
"Chava, Koteswara R.","Chava, Koteswara Rao"
"Chen, Ming-ming","Chen, Mingming"
"Chen, Qi-hong","Chen, Qihong"
"Chen, Zhi H.","Chen, Zhihua"
"Chen, Zhi-hua","Chen, Zhihua"
"Chiang, E. T.","Chiang, Eddie T."
"Cho, M.","Cho, Myoung Rae"
"Cook, James","Cook, James A."
"Cruz, Fernanda F.","Cruz, Fernanda Ferreira"
"de Abreu, Marcelo G.","de Abreu, Marcelo Gama"
"De Lima, Franciele","de Lima, Franciele"
"Du, Yong-Zhong","Du, Yongzhong"
"Dudek, S. M.","Dudek, Steven M."
"Elangovan, Venkateswaran R.","Elangovan, Venkateswaran Ramamoorthi"
"Fang, Qiu-hong","Fang, Qiuhong"
"Fang, Qiu-Hong","Fang, Qiuhong"
"Feng, Hao-Jie","Feng, Haojie"
"Fessler, Michael B. .","Fessler, Michael B."
"Fonseca, Ana Carolina F.","Fonseca, Ana Carolina Fernandes"
"Fulton, D. J. R.","Fulton, David J. R."
"Fulton, David","Fulton, David J. R."
"Fulton, David J.","Fulton, David J. R."
"Garcia, J. G. N.","Garcia, Joe G. N."
"Gladwin, M. T.","Gladwin, Mark T."
"Gong, Yu-Qiang","Gong, Yuqiang"
"Gonzales, Joyce","Gonzales, Joyce N."
"Goodwin, Andrew","Goodwin, Andrew J."
"Gorshkov, B.","Gorshkov, Boris A."
"Gorshkov, Boris","Gorshkov, Boris A."
"Greineder, Colin","Greineder, Colin F."
"Griffiths, Mark","Griffiths, Mark J."
"Gross, Christine","Gross, Christine M."
"Gross, Christine M. M.","Gross, Christine M."
"Guo, Feng-Mei","Guo, Fengmei"
"Guo, Feng-mei","Guo, Fengmei"
"Haigh, S.","Haigh, Stephen"
"Halushka, Perry","Halushka, Perry V."
"Han, Ji-bin","Han, Jibin"
"Han, Jing-Yan","Han, Jingyan"
"He, Hong-li","He, Hongli"
"Heffernan, Daithi","Heffernan, Daithi S."
"Heinemann, A.","Heinemann, Akos"
"Hu, Da-Hai","Hu, Dahai"
"Hu, Shu-ling","Hu, Shuling"
"Huang, Li-Na","Huang, Lina"
"Huang, Long Shuang","Huang, Longshuang"
"Huang, Ying-zi","Huang, Yingzi"
"Huang, Ying-Zi","Huang, Yingzi"
"Huang, Yong-bo","Huang, Yongbo"
"Jacobson, J. R.","Jacobson, Jeffrey R."
"Jandl, K.","Jandl, Katharina"
"Jezierska-Drutel, Agnieszka","Jezierska-Drutel, Agnieszka J."
"Jiang, Sai-Ping","Jiang, Saiping"
"Jiang, Yan-wen","Jiang, Yanwen"
"Jiang, Yan-Wen","Jiang, Yanwen"
"Kalin, Tanya, V","Kalin, Tanya V."
"Kang, Xu-Qi","Kang, Xuqi"
"Kelher, M. R.","Kelher, Marguerite R."
"Kempf, Carrie","Kempf, Carrie L."
"Khan, S. Y.","Khan, Samina Y."
"Kim, Kyung-Mi","Kim, Kyung-mi"
"Komarova, Yulia","Komorova, Yulia A."
"Kong, Gui-Qing","Kong, Guiqing"
"Konya, V.","Konya, Viktoria"
"Kozhukhar, Natalya","Kozhukhar, Natalia"
"Kysar, Patricia E. E.","Kysar, Patricia E."
"Leff, Alan","Leff, Alan R."
"Letsiou, E.","Letsiou, Eleftheria"
"Li, Jian-Kui","Li, Jiankui"
"Li, Jin-ze","Li, Jinze"
"Li, J. T.","Li, John T."
"Li, Shu-Juan","Li, Shujuan"
"Li, Zhi-Chao","Li, Zhichao"
"Lin, Zi-Qi","Lin, Ziqi"
Ling Bing-yu,"Ling, Bingyu"
"Liu, Ai-ran","Liu, Airan"
"Liu, Xiang-Yong","Liu, Xiangyong"
"Liu, Yong-Jian","Liu, Yongjian"
"Lomas-Neira, Joanne","Lomas-Neira, Joanne L."
"Lorente, Jose A.","Lorente, Jose Angel"
"Lu, Jun-Hong","Lu, Junhong"
"Lu, Zi-Long","Lu, Zilong"
"Luan, Zheng-gang","Luan, Zhenggang"
"Lucas, R.","Lucas, Rudolf"
"Luo, Li-Qing","Luo, Liqing"
"Ma, Ming-Ming","Ma, Mingming"
"Ma, Shwu-Fan","Ma, Shwu Fan"
"Madenspacher, Jennifer","Madenspacher, Jennifer H."
"Madenspacher, Jennifer H. .","Madenspacher, Jennifer H."
"Marsche, G.","Marsche, Gunther"
"Marsden, Philip","Marsden, Philip A."
"Marsh, L. M.","Marsh, Leigh M."
"Matthay, M. A.","Matthay, Michael A."
"McAuley, Daniel F.","McAuley, Daniel Francis"
"McAuley, Danny","McAuley, Danny F."
"McLaughlin, Nathan J.","McLaughlin, Nathan J. D."
"Meliton, Angelo","Meliton, Angelo Y."
"Meliton, Lucille","Meliton, Lucille N."
"Menden, Heather","Menden, Heather L."
"Meng, Shan-Shan","Meng, Shanshan"
"Meng, Shan-shan","Meng, Shanshan"
"Monteiro, Ana Paula T.","Monteiro, Ana Paula Teixeira"
"Morales, Marcelo M.","Morales, Marcelo Marcos"
"Mu, Sheng-Tian","Mu, Shengtian"
"Mullen, Brendan","Mullan, Barbara A."
"Mutlu, Goekhan M.","Mutlu, Gokhan M."
"Mutlu, Gokhan","Mutlu, Gokhan M."
"Muzykantov, Vladimir","Muzykantov, Vladimir R."
"Noonepalle, Satish","Noonepalle, Satish Kumar"
"Obukhov, Alexander","Obukhov, Alexander G."
"Okamoto, T.","Okamura, Toru"
"O'Kane, Cecilia","O'Kane, Cecilia M."
"Olschewski, A.","Olschewski, Andrea"
"Ornellas, Debora","Ornellas, Debora S."
"Ortolan, Luana S.","Ortolan, Luana dos Santos"
"Pillich, H.","Pillich, Helena"
"Platzer, W.","Platzer, Wolfgang"
"Poroyko, Valeriy","Poroyko, Valery"
"Predescu, Sanda","Predescu, Sanda A."
"Proudfoot, Alastair","Proudfoot, Alastair G."
"Qi, Bo-yang","Qi, Boyang"
"Qing, Danielle","Qing, Danielle Y."
"Qiu, Hai-Bo","Qiu, Haibo"
"Qiu, Hai-bo","Qiu, Haibo"
"Rafikov, R.","Rafikov, Ruslan"
"Rafikova, O.","Rafikova, Olga"
"Rizzo, A. N.","Rizzo, Alicia N."
"Rocco, Patricia R. M.","Rocco, Patricia Rieken Macedo"
"Sachs, Ulrich J.","Sachs, Ulrich J. H."
"Samary, Cynthia","Samary, Cynthia dos Santos"
"Samary, Cynthia S.","Samary, Cynthia dos Santos"
"Sammani, S.","Sammani, Saad"
"Santos, Cintia L.","Santos, Cintia Lourenco"
"Santos, Raquel S.","Santos, Raquel Souza"
"Schuligoi, R.","Schuligoi, Rufina"
"Scott, Alan","Scott, Alan L."
"Sercundes, Michelle K.","Sercundes, Michelle Klein"
"Servinsky, Laura","Servinsky, Laura E."
"Shaver, Clara M.","Shaver, Ciara M."
"Shen, Hua H.","Shen, Huahao"
"Shen, Hua-hao","Shen, Huahao"
"Sheppard, D.","Sheppard, Dean"
"Shuvaev, Vladimir","Shuvaev, Vladimir V."
"Silliman, C. C.","Silliman, Christopher C."
"Silva, Pedro L.","Silva, Pedro Leme"
"Singleton, Patrick","Singleton, Patrick A."
"Solopov, Pavel","Solopov, Pavel A."
"Song, Yuan L.","Song, Yuanlin"
"Su, G.","Su, George"
Tan Ding-yu,"Tan, Dingyu"
"Theiler, A.","Theiler, Anna"
"Uddin, Mohammad A.","Uddin, Mohammad Afaz"
"van Buul, J. D.","van Buul, Jaap D."
"van Stalborch, Annemarieke D.","van Stalborch, Anne-Marieke D."
"Verin, A. D.","Verin, Alexander D."
"Verin, Alexander","Verin, Alexander D."
"Verin, Alexander Dimitrievich","Verin, Alexander D."
"Vlaar, A. P. J.","Vlaar, Alexander P."
"Wang, Xiao-Zhi","Wang, Xiaozhi"
"Wang, Xiao-zhi","Wang, Xiaozhi"
"Weissmann, Nobert","Weissmann, Norbert"
"Wurfel, Mark M. .","Wurfel, Mark M."
"Yuan, Jason X. -J.","Yuan, Jason X-J."
"Yuan, Jason X-J","Yuan, Jason X-J."
"Zemskov, Evgeny","Zemskov, Evgeny A."
"Zemskov, Evgeny A. A.","Zemskov, Evgeny A."
"Zemskova, Marina","Zemskova, Marina A."
"Zemskova, Marina A. A.","Zemskova, Marina A."
"Zeng, Hong-ke","Zeng, Hongke"
