Original Keyword,Processed Keyword
UCHL1,UCHL1
&#945,&#945
(Acute respiratory distress syndrome) ARDS,ARDS
(Cyclin-dependent kinase inhibitor 1B),(Cyclin-dependent kinase inhibitor 1B)
?B),?B)
"0.9% saline, angiopoietin 2, P-selectin","0.9% saline, angiopoietin 2, P-selectin"
17 beta-estradiol,17 beta-estradiol
1-antitrypsin,1-antitrypsin
2-chlorofatty acid,2-chlorofatty acid
"3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT)","3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT)"
34-1-2S,34-1-2S
4-dihydroxyphenyl)-2-hydroxypropanoate,4-dihydroxyphenyl)-2-hydroxypropanoate
A549,A549
Abl2,Abl2
Acacetin,Acacetin
ACE,Angiotensin converting enzyme
ACE2,Angiotensin converting enzyme 2 (ACE2)
ACE-2,Angiotensin converting enzyme 2 (ACE2)
ACE-2 receptor,ACE-2 receptor
Acid aspiration,Acid aspiration
acidic microenvironment,acidic microenvironment
acidosis,acidosis
acrolein,acrolein
actin,actin
actin cytoskeleton,actin cytoskeleton
Acute aortic dissection,acute aortic dissection
acute aortic dissection,acute aortic dissection
acute chest syndrome,acute chest syndrome
Acute ethanol intoxication,Acute ethanol intoxication
acute inflammation of lung injury,acute inflammation of lung injury
Acute kidney injury,Acute kidney injury
acute king injury,Acute kidney injury
acute lung,acute lung
Acute lung inflammation,Acute lung inflammation
Acute lung injury,acute lung injury (ALI)
acute lung injury,acute lung injury (ALI)
Acute Lung Injury,acute lung injury (ALI)
Acute lung injury (ALI),acute lung injury (ALI)
acute lung injury (ALI),acute lung injury (ALI)
acute lung injury and acute respiratory distress syndrome,acute lung injury (ALI); ARDS
acute pancreatitis,acute pancreatitis
Acute pancreatitis,acute pancreatitis
Acute pulmonary endothelial cell injury,Acute pulmonary endothelial cell injury
Acute respiratory distress syndrome,ARDS
Acute Respiratory Distress Syndrome,ARDS
acute respiratory distress syndrome,ARDS
Acute respiratory distress syndrome (ARDS),ARDS
acute respiratory distress syndrome (ARDS),ARDS
acute respiratory distress syndrome/acute lung injury (ARDS/ALI),acute lung injury (ALI); ARDS
acute respiratory distress syndromes and acute lung injury,acute lung injury (ALI); ARDS
ADAM10,ADAM10
"adenosine 3 ',5 '-cyclic monophosphate","adenosine 3 ',5 '-cyclic monophosphate"
adherence,adherence
Adherens junction,adhesion junction
adherens junction,adhesion junction
adherens junctions,adhesion junction
adherens junctions (AJs),adhesion junction
Adhesion,Adhesion
adhesion junction,adhesion junction
adhesion molecule,adhesion molecules
Adhesion molecules,adhesion molecules
adhesion molecules,adhesion molecules
adipokine,adipokine
Adipose stromal cells,Adipose stromal cells
adipose tissue-derived stem cell,adipose tissue-derived stem cell
adipose-derived exosomes,adipose-derived exosomes
Adipose-derived mesenchymal stem cells,Adipose-derived mesenchymal stem cells
Adipose-derived stem cells,Adipose-derived stem cells
adrenomedullin,adrenomedullin
ADSCs exosome,ADSCs exosome
Adult stem cells,Adult stem cells
aerobic glycolysis,aerobic glycolysis
AFM,AFM
aging,aging
airway diseases,airway diseases
airway epithelium,airway epithelium
airway inflammation,airway inflammation
Akt,Akt
AKT,Akt
Akt pathway,Akt signaling pathway
Akt signaling pathway,Akt signaling pathway
Akt/GSK-3 beta,Akt/GSK-3 beta
AKT/GSK3 beta signaling pathway,Akt/GSK-3 beta
Akt/mTOR signal pathway,Akt/mTOR signal pathway
AKT1,Akt1
Akt1,Akt1
albumin,albumin
Alda-1,Alda-1
aldehyde dehydrogenase,aldehyde dehydrogenase
aldehyde dehydrogenase 2 (ALDH2),ALDH2
ALDH2,ALDH2
ALI,acute lung injury (ALI)
ALI/ARDS,acute lung injury (ALI); ARDS
Alk5,Alk5
allogeneic bone marrow transplantation,allogeneic bone marrow transplantation
alpha(2)-Adrenoceptor,alpha(2)-adrenoreceptor
alpha(2)-adrenoreceptor,alpha(2)-adrenoreceptor
alpinetin,alpinetin
alternative methods,alternative methods
alveolar capillary dysplasia,alveolar capillary dysplasia
alveolar collapse,alveolar collapse
alveolar epithelial cell (AEC),alveolar epithelial cells
alveolar epithelial cells,alveolar epithelial cells
Alveolar epithelial cells,alveolar epithelial cells
alveolar epithelial fluid transport,alveolar epithelial fluid transport
alveolar fluid clearance,alveolar fluid clearance
Alveolar macrophages,alveolar macrophages
alveolar macrophages,alveolar macrophages
alveolar permeability,alveolar permeability
alveolar remodeling,alveolar remodeling
Alveolar type II epithelial cell,Alveolar type II epithelial cell
amiloride-insensitive sodium channel,amiloride-insensitive sodium channel
AMP-activated protein kinase,AMPK
AMPK,AMPK
anagliptin,anagliptin
and mouth disease,and mouth disease
ANDV,ANDV
angiogenesis,angiogenesis
Angiogenesis,angiogenesis
angiopoietin,angiopoietin
angiopoietin (Ang)-1 &-2,angiopoietin-1; angiopoietin-2
angiopoietin 2,angiopoietin-2
angiopoietin-1,angiopoietin-1
Angiopoietin-1,angiopoietin-1
Angiopoietin-1 and-2,angiopoietin-1; angiopoietin-2
Angiopoietin-1 gene,angiopoietin-1
angiopoietin-2,angiopoietin-2
Angiopoietin-2,angiopoietin-2
angiopoietin-like protein 4,angiopoietin-like protein 4
Angiopoietins,angiopoietin
angiotensin,angiotensin
Angiotensin converting enzyme,Angiotensin converting enzyme
Angiotensin converting enzyme 2 (ACE2),Angiotensin converting enzyme 2 (ACE2)
angiotensin II,angiotensin II
Angiotensin II,angiotensin II
angiotensin II receptors,angiotensin II receptors
angiotensin-(1-7),angiotensin
angiotensin-(1-7) receptor blocker,angiotensin-(1-7) receptor blocker
angiotensin-converting enzyme,Angiotensin converting enzyme
angiotensin-converting enzyme 2,Angiotensin converting enzyme 2 (ACE2)
Animal models,Animal models
anti-apoptosis,anti-apoptosis
Antibodies,Antibodies
anticoagulants,anticoagulants
antiinflammation,Anti-inflammation
Anti-inflammation,Anti-inflammation
Anti-inflammatory therapy,Anti-inflammation
antioxidant,antioxidant
Antioxidant enzyme mimetic,Antioxidant enzyme mimetic
Antioxidant response element,Antioxidant response element
Antioxidant therapy,Antioxidant therapy
antiplatelet,antiplatelet
Antiplatelet agents,antiplatelet
Aortic dissection,Aortic dissection
apelin-13,apelin-13
Apelin-13,apelin-13
Apelin-APJ axis,Apelin-APJ axis
Apolipoprotein A-I,Apolipoprotein A-I
Apolipoprotein E,Apolipoprotein E
APOM,APOM
Apoptosis,apoptosis
apoptosis,apoptosis
AQP1,aquaporin 1
aquaporin 1,aquaporin 1
aquaporin-1,aquaporin 1
Aquaporins,Aquaporins
ARDS,ARDS
ARDS/ALI,acute lung injury (ALI); ARDS
Arg,Arginine
arginase 1,arginase 1
Arp 2/3,Arp 2/3
artificial sweeteners,artificial sweetener
aspirin,aspirin
asthma,asthma
Astilbin,Astilbin
asymmetric dimethylarginine,asymmetric dimethylarginine
ATG16L1,ATG16L1
atherosclerosis,atherosclerosis
Atrial natriuretic peptide,Atrial natriuretic peptide
aureus),aureus)
autophagy,autophagy
Autophagy,autophagy
AUY-922,AUY-922
B cell colony-enhancing factor,B cell colony-enhancing factor
bacterial DNA,bacterial DNA
bacterial infection,bacterial infection
bacterial lipopolysaccharide,bacterial lipopolysaccharide
BALF,BALF
BAP31,BAP31
barrier disruption,barrier disruption
Barrier dysfunction,barrier dysfunction
barrier dysfunction,barrier dysfunction
barrier function,barrier function
Barrier function,barrier function
barrier permeability,barrier permeability
Barrier permeability,barrier permeability
barrier protection,barrier protection
Barrier regulation,Barrier regulation
Basic science,Basic science
basic science research,basic science research
Bcl-2,Bcl-2
beas-2b,beas-2b
Beclin-1,Beclin-1
Berberine,berberine
berberine,berberine
beta 1 integrin,beta 1 integrin
Beta-arrestin-1 penehyclidine hydrochloride,Beta-arrestin-1 penehyclidine hydrochloride
beta-NAD,beta-NAD
bicarbonate,bicarbonate
bindarit,bindarit
biomarker,biomarkers
Biomarker,biomarkers
biomarkers,biomarkers
Biomarkers,biomarkers
Bioprocessing,Bioprocessing
bitter taste receptors,bitter taste receptors
Blebbistatin,Blebbistatin
Bleomycin,Bleomycin
blood-air barrier hyperpermeability,blood-air barrier hyperpermeability
Blood-borne cells,Blood-borne cells
blood-brain barrier,blood-brain barrier
BLT1,BLT1
BLT2,BLT2
BML-111,BML-111
BMP signaling in endothelial cells,BMP signaling in endothelial cells
BMP9,BMP9
Bone morphogenetic protein,bone morphogenetic proteins
bone morphogenetic proteins,bone morphogenetic proteins
bovine serum albumin nanoparticles,bovine serum albumin nanoparticles
bradykinin,bradykinin
brain injury,brain injury
bronchiectasis,bronchiectasis
Bronchoalveolar lavage (BAL),Bronchoalveolar lavage (BAL)
bronchoalveolar lavage fluid,BALF
bronchopulmonar dysplasia,bronchopulmonary dysplasia
bronchopulmonary dysplasia,bronchopulmonary dysplasia
Btk,Btk
Burn,burn
burn,burn
burns,burn
C16,C16
C23,C23
C3a,C3a
C3a-C3aR,C3a-C3aR
C3G,C3G
C5a,C5a
C5aR1 inhibition,C5aR1 inhibition
Ca2+,Ca2+
c-Abl,c-Abl
C-Abl,c-Abl
c-abl gene,c-Abl
c-Abl tyrosine kinase,c-Abl
Cadherin,cadherin
cadherin,cadherin
Calcineurin/NFATc3,Calcineurin/NFATc3
calcitonin gene-related peptide,calcitonin gene-related peptide
Calcium,calcium
calcium,calcium
calcium channels,calcium channels
Calcium signal,Calcium signal
Calpain,Calpain
cAMP,cAMP
cancer,cancer
capillary endothelial permeability,capillary endothelial permeability
capillary leak,capillary leak
Capillary permeability,Capillary permeability
Capillary Permeability,Capillary permeability
captopril,captopril
carboxyl stress,carboxyl stress
Cardamonin,Cardamonin
cardiopulmonary bypass,cardiopulmonary bypass
CARDS,CARDS
caspase 3,caspase-3
caspase-1,caspase-1
Caspase-1,caspase-1
Caspase-11,caspase-11
caspase-11,caspase-11
caspase-3,caspase-3
CaSR,CaSR
catalase,catalase
catenin,catenin
cathepsin B,cathepsin B
Cathepsin G,Cathepsin G
cationic polymers,cationic polymer
Cav-1,caveolin-1
caveolae,caveolae
caveolae (caveolin-1),caveolin-1
caveolin-1,caveolin-1
Caveolin-1,caveolin-1
CCL2,CCL2
CCL-2,CCL2
CCL25,CCL25
CCR11,CCR11
CD163,CD163
CD200-CD200R,CD200-CD200R
CD26,CD26
CD31,CD31
CD40L,CD40L
CD41,CD41
CD54,CD54
Cdc42,Cdc42
cdc42-deficient,cdc42-deficient
CDH5,CDH5
Cdk2,Cdk2
CDKN1B,CDKN1B
Celigo,Celigo
cell adhesion,cell adhesion
Cell apoptosis,Cell apoptosis
cell biology,cell biology
cell culture,cell culture
cell culture model for lung transplantation,cell culture model for lung transplantation
Cell cultures,Cell cultures
Cell cytoskeleton,Cell cytoskeleton
Cell damage,Cell damage
cell junction,cell junction
cell mechanics,cell mechanics
cell migration,cell migration
cell permeability,cell permeability
Cell proliferation,Cell proliferation
Cell signalling,Cell signalling
Cell survival,Cell survival
cell therapy,cell therapy
Cell therapy,cell therapy
cell transformation,cell transformation
cell transmigration,cell transmigration
Cell transplantation,Cell transplantation
cell-derived extracellular vesicles,cell-derived extracellular vesicles
cell-free microRNAs,cell-free microRNAs
cells,cells
Cellular adhesion molecules,Cellular adhesion molecules
Cellular bioenergetics,Cellular bioenergetics
Ceramide,Ceramide
Chaperone heat shock protein 90,Chaperone heat shock protein 90
chemokine,chemokines
chemokine receptors,chemokine receptors
chemokines,chemokines
Chemokines,chemokines
chemotaxis,chemotaxis
cholin transporter-like protein 2,cholin transporter-like protein 2
chronic bronchitis,chronic bronchitis
chronic obstructive pulmonary disease,chronic obstructive pulmonary disease (COPD)
chronic obstructive pulmonary disease (COPD),chronic obstructive pulmonary disease (COPD)
chronic rhinosinusitis,chronic rhinosinusitis
cigarette smoke,cigarette smoke
Ciliary arteries,Ciliary arteries
Circ_0054633,Circ_0054633
circEXOC5,circEXOC5
circKlhl2,circKlhl2
circPalm2,circPalm2
circulating endothelial cells,circulating endothelial cells
Circulating endothelial cells,circulating endothelial cells
Circulatory extracellular vesicles,Circulatory extracellular vesicles
circWDR33,circWDR33
CIRP,CIRP
Cisatracurium,Cisatracurium
citrullinated histone H3,citrullinated histone H3
citrulline,citrulline
C-Jun,C-Jun
CLASP2,CLASP2
Class IIA HDACs inhibition,Class IIA HDACs inhibition
clathrin-mediated endocytosis,clathrin-mediated endocytosis
claudin,claudins
Claudin-18,Claudin-18
Claudin5,claudin-5
Claudin-5,claudin-5
claudin-5,claudin-5
claudins,claudins
Clinical trial,Clinical trial
Clinical trials,Clinical trial
clodronate,clodronate
clopidogrel,clopidogrel
CLP,CLP
CLP sepsis,CLP sepsis
CO2-removal,CO2-removal
coagulation,coagulation
Coagulation,coagulation
coagulation endothelial cell,coagulation endothelial cell
coagulation/fibrinolysis,coagulation/fibrinolysis
coagulopathy,coagulopathy
co-culture,co-culture
cofilin-1,cofilin-1
co-inhibitory receptor,co-inhibitory receptor
collapse,collapse
Community-acquired pneumonia,Community-acquired pneumonia
compartmentalization,compartmentalization
compartmentalized cAMP,compartmentalized cAMP
complement,complement
Complement,complement
complement activation,complement activation
concentration-sensitive sodium channel,concentration-sensitive sodium channel
Connexin40,Connexin40
connexins,connexins
COPD,chronic obstructive pulmonary disease (COPD)
Cordyceps militaris (CM),Cordyceps militaris (CM)
coronavirus,coronavirus
coronavirus disease 2019,coronavirus
cortactin,cortactin
Cortactin,cortactin
cortical actin,cortical actin
CoV-2,CoV-2
COVID acute respiratory distress syndrome,COVID acute respiratory distress syndrome
COVID-19,COVID-19
COVID-19 complications,COVID-19 complications
COVID-19 disease,COVID-19 disease
COVID-19 murine model,COVID-19 murine model
COVID-19 pro-inflammatory cytokines,COVID-19 pro-inflammatory cytokines
Coxsackievirus A2,Coxsackievirus A2
CpG DNA,CpG DNA
cre/loxp,cre/loxp
Cre/Loxp technique,Cre/Loxp technique
critical care,critical care
Crocin,Crocin
crosstalk,crosstalk
c-Src,c-Src
C-terminal binding protein 2 (CTBP2),C-terminal binding protein 2 (CTBP2)
C-type natriuretic peptide,C-type natriuretic peptide
curcumin,curcumin
C-X3-C motif chemokine ligand 1,C-X3-C motif chemokine ligand 1
CX3CL1-CX3CR1 axis,CX3CL1-CX3CR1 axis
Cx40,Connexin40
CXC chemokines,CXC chemokines
cxcl3,cxcl3
CXCR2,CXCR2
CXCR3,CXCR3
cyclase,cyclase
Cyclic AMP,cAMP
cyclic stretch,cyclic stretch
CYP1B1,CYP1B1
cystic fibrosis,cystic fibrosis
Cytochrome P450,Cytochrome P450
cytokine,cytokines
Cytokine,cytokines
cytokine release syndrome,cytokine release syndrome
cytokine storm,cytokine storm
Cytokine storm,cytokine storm
Cytokines,cytokines
cytokines,cytokines
Cytoprotection,Cytoprotection
cytoskeletal dynamics,cytoskeletal dynamics
cytoskeletal rearrangement,cytoskeletal rearrangement
Cytoskeleton,cytoskeleton
cytoskeleton,cytoskeleton
DAD,DAD
Damage -associated molecular patterns,DAMPs
Damage-associated molecular patterns,DAMPs
DAMP,DAMPs
DAMPs,DAMPs
danger-associated molecular pattern,DAMPs
dauricine,dauricine
decursin,decursin
Decursinol angelate,Decursinol angelate
Dehydrozingerone,Dehydrozingerone
Desialylation,Desialylation
DEX,dexamethasone
dexamethasone,dexamethasone
Dexamethasone,dexamethasone
Dexamethasone delivery,Dexamethasone delivery
Dexamethasone nanoparticles,Dexamethasone nanoparticles
dexmedetomidine,dexmedetomidine
diagnosis,diagnosis
diannexin,diannexin
Differentiation,Differentiation
diffuse alveolar damage score,diffuse alveolar damage score
dimethylarginine dimethylaminohydrolase II,dimethylarginine dimethylaminohydrolase II
Diosmetin,Diosmetin
Dipeptidyl peptidase 4,dipeptidyl peptidase-4
dipeptidyl peptidase-4,dipeptidyl peptidase-4
Direct lung injury,Direct lung injury
disseminated intravascular coagulation (DIC),disseminated intravascular coagulation (DIC)
disseminated intravascular microthrombosis (DIT),disseminated intravascular microthrombosis (DIT)
DJ-1,DJ-1
DNA methylation,DNA methylation
DNA repair,DNA repair
Donor variability,Donor variability
DPP4,dipeptidyl peptidase-4
DPP4 inhibitor,DPP4 inhibitor
drug delivery,drug delivery
Drug delivery,drug delivery
drug targeting,drug targeting
Dual-Specificity Phosphatases,Dual-Specificity Phosphatases
DUSP4,DUSP4
dysfunction,dysfunction
eCIRP,eCIRP
ECIS,ECIS
edaravone,edaravone
Edema,Edema
edema,edema
EGFR,EGFR
Elastance,Elastance
Elastase,Elastase
electric cell-substrate impedance sensing,electric cell-substrate impedance sensing
electron microscopy,electron microscopy
ELISA,ELISA
ELK3,ELK3
embryonic development,embryonic development
emphysema,emphysema
Endocan,Endocan
endocytosis,endocytosis
endoglin (Eng),endoglin (Eng)
EndoMT,EndoMT
endoplasmic reticulum-plasma membrane junctions,endoplasmic reticulum-plasma membrane junctions
endosome,endosome
endothelial,endothelial
Endothelial,endothelial
endothelial activation,endothelial activation
endothelial adhesion molecules,endothelial adhesion molecules
endothelial Barrier,endothelial barrier
endothelial barrier,endothelial barrier
Endothelial barrier,endothelial barrier
Endothelial barrier dysfunction,endothelial barrier dysfunction
endothelial barrier dysfunction,endothelial barrier dysfunction
Endothelial barrier function,endothelial barrier function
endothelial barrier function,endothelial barrier function
Endothelial Barrier function,endothelial barrier function
endothelial barrier regulation,endothelial barrier regulation
Endothelial barrier regulation,Endothelial barrier regulation
endothelial barrier restoration,endothelial barrier restoration
endothelial biology,endothelial biology
endothelial cell,endothelial cells (ECs)
Endothelial cell,endothelial cells (ECs)
Endothelial cell (EC),endothelial cells (ECs)
endothelial cell barrier,endothelial barrier
endothelial cell barrier dysfunction,endothelial barrier dysfunction
endothelial cell dysfunction,endothelial dysfunction
Endothelial cell inflammation,Endothelial cell inflammation
Endothelial cell injury,Endothelial damage
endothelial cells,endothelial cells (ECs)
Endothelial cells,endothelial cells (ECs)
endothelial cells (EC),endothelial cells (ECs)
endothelial cells (ECs),endothelial cells (ECs)
Endothelial cells-derived exosome,Endothelial cells-derived exosome
Endothelial damage,Endothelial damage
Endothelial dysfunction,endothelial dysfunction
endothelial dysfunction,endothelial dysfunction
Endothelial glycocalyx,endothelial glycocalyx (EG)
endothelial glycocalyx,endothelial glycocalyx (EG)
endothelial glycocalyx (EG),endothelial glycocalyx (EG)
endothelial growth response 2,endothelial growth response 2
endothelial hyperpermeability,endothelial hyperpermeability
Endothelial mesenchymal transition,Endothelial mesenchymal transition
endothelial microparticles,endothelial microparticles
endothelial niche,endothelial niche
endothelial nitric oxide synthase,eNOS
Endothelial nitric oxide synthase,eNOS
endothelial nitric oxide synthase uncoupling,endothelial nitric oxide synthase uncoupling
endothelial permeability,endothelial permeability
Endothelial permeability,endothelial permeability
Endothelial progenitor cells,endothelial progenitor cells
endothelial progenitor cells,endothelial progenitor cells
endothelial pyroptosis,endothelial pyroptosis
endothelial regeneration,endothelial regeneration
endothelial repair,endothelial repair
Endothelial targeting,Endothelial targeting
endothelial wound healing,endothelial wound healing
endothelial-barrier function,endothelial-barrier function
endothelialization,endothelialization
endothelial-to-mesenchymal transition,endothelial-to-mesenchymal transition
Endothelial-to-mesenchymal transition,endothelial-to-mesenchymal transition
endotheliitis,endotheliitis
Endotheliitis,endotheliitis
endotheliopathy,endotheliopathy
endotheliopathy-associated vascular microthrombotic disease (EA-VMTD),endotheliopathy-associated vascular microthrombotic disease (EA-VMTD)
endothelium,endothelium
Endothelium,endothelium
endothelium cells,endothelium cells
Endotoxemia,endotoxemia
endotoxemia,endotoxemia
endotoxic shock,endotoxic shock
Endotoxin,endotoxin
endotoxin,endotoxin
eNOS,eNOS
eNOS pathway,eNOS pathway
eNOS uncoupling,eNOS uncoupling
enrichment analysis,enrichment analysis
Enzymology,Enzymology
EOMA,EOMA
Epac,Epac
Epac1,Epac1
EPCR,EPCR
epigenetic modifiers,epigenetic modifiers
epigenetics,epigenetics
epithelial cell,epithelial cell
Epithelial sodium channel,epithelial sodium channel
epithelial sodium channel,epithelial sodium channel
epithelial-endothelial barrier,epithelial-endothelial barrier
epithelial-mesenchymal transition (EMT),epithelial-mesenchymal transition (EMT)
epithelium,epithelium
ER stress,ERS
ERK,ERK
ERK1/2,ERK1/2
ERKs,ERK
ERM,ERM
ERR alpha,ERR alpha
ERS,ERS
erythropoietin,erythropoietin
E-selectin,E-selectin
E-selectin-binding peptide,E-selectin-binding peptides
E-selectin-binding peptides,E-selectin-binding peptides
eukaryotic elongation factor 2,eukaryotic elongation factor 2
evans blue,evans blue
ex vivo ventilation perfusion,ex vivo ventilation perfusion
EX527,EX527
exchange factor directly activated by cyclic adenosine monophosphate,exchange factor directly activated by cyclic adenosine monophosphate
exercise immunology,exercise immunology
exocytosis,exocytosis
exosome,exosomes
Exosome,exosomes
exosomes,exosomes
Exosomes,exosomes
eXpress Permeability Test (XPerT),eXpress Permeability Test (XPerT)
expression profile,expression profile
EXT-1,EXT-1
Extracellular histones,extracellular histones
extracellular histones,extracellular histones
extracellular matrix,extracellular matrix
extracellular signal-regulated kinase,ERK
extracellular vesicle,extracellular vesicles (EVs)
extracellular vesicles,extracellular vesicles (EVs)
extracellular vesicles (EVs),extracellular vesicles (EVs)
Extracellular vesicles (EVs),extracellular vesicles (EVs)
extracellular-regulated kinase,ERK
extravasated platelet aggregation (EPA),extravasated platelet aggregation (EPA)
Ezrin,Ezrin
Ezrin protein,Ezrin
Ezrin/radixin/moesin,ERM
F-actin,F-actin
Factor associated suicide,Factor associated suicide
factor Xa,factor Xa
FAK,Focal adhesion kinase (FAK)
Fas,Fas
Fas ligand,Fas ligand
Fasudil,fasudil
fasudil,fasudil
fat embolism syndrome,fat embolism syndrome
Fatty acid synthase,Fatty acid synthase
febrile-range hyperthermia,febrile-range hyperthermia
ferroptosis,ferroptosis
Ferroptosis,ferroptosis
Ferulic acid,Ferulic acid
FGF2,FGF2
FGF5,FGF5
FGFR1,FGFR1
Fibrin,fibrin
fibrin,fibrin
fibrinogen,fibrinogen
fibrinolysis,fibrinolysis
fibroblasts,fibroblasts
fibrosis,fibrosis
FK-866,FK-866
flash photolysis,flash photolysis
flavin-containing monooxygenase,flavin-containing monooxygenase
flow cytometry,flow cytometry
Flow cytometry,flow cytometry
flowmotion,flowmotion
Fluids,Fluids
focal adhesion,focal adhesion
focal adhesion complexes,focal adhesion complexes
focal adhesion kinase,Focal adhesion kinase (FAK)
Focal adhesion kinase (FAK),Focal adhesion kinase (FAK)
follistatin-like protein 1,follistatin-like protein 1
foot,foot
forkhead box O1 (FOXO1),forkhead transcription factor O1
forkhead transcription factor O1,forkhead transcription factor O1
FOXF1,FOXF1
FoxM1,FoxM1
FoxO,FoxO
Free radicals,Free radicals
FTY720,FTY720
FTY720 S-phosphonate,FTY720 S-phosphonate
functional genomics,functional genomics
fusion to endothelium,fusion to endothelium
G protein-couple receptors,G protein-couple receptors
G(+)-toxins,G(+)-toxins
G2A receptor,G2A receptor
GAB1,GAB1
Gadolinium chloride,Gadolinium chloride
Galectin,Galectin
Gap junction,gap junctions
gap junctions,gap junctions
gasdermin D (GSDMD),gasdermin D (GSDMD)
Gastric acid aspiration,Gastric acid aspiration
GEF-H1,GEF-H1
gene delivery,gene delivery
Gene therapy,gene therapy
gene therapy,gene therapy
genistein-3 '-sodium sulphonate,genistein-3 '-sodium sulphonate
Ghrelin,Ghrelin
Ginsenoside Rb1,Ginsenoside Rb1
glucocorticoids,glucocorticoids
glucose metabolism,glucose metabolism
glycocalyx,endothelial glycocalyx (EG)
Glycocalyx,endothelial glycocalyx (EG)
Glycocalyx damage,Glycocalyx damage
Glycolysis,Glycolysis
gp91phox-/-,gp91phox-/-
GPIIb/IIIa antagonists,GPIIb/IIIa antagonists
G-protein coupled receptor,G-protein coupled receptor
GPX4,GPX4
