Original Keyword,Processed Keyword
Peroxisome proliferator-activated receptor gamma,Peroxisome proliferator-activated receptor gamma
PFKFB3,PFKFB3
PGC-1 alpha mitochondria biogenesis,PGC-1 alpha mitochondria biogenesis
Pharmacokinetics,Pharmacokinetics
phorbol myristate,phorbol myristate
phosphatidic acid signaling,phosphatidic acid signaling
phosphatidylinositol 3-kinase,PI3K
phosphodiesterase,phosphodiesterase
phosphodiesterase inhibitor,phosphodiesterase inhibitor
Phospholipase D2,Phospholipase D2
phospholipase D2 (PLD2),Phospholipase D2
phospholipid scramblase 4 (PLSCR4),phospholipid scramblase 4 (PLSCR4)
phospholipidomics,phospholipidomics
phospholipids,phospholipids
phosphorylation,phosphorylation
phosphotyrosine signaling,phosphotyrosine signaling
Phytochemicals,Phytochemicals
PI3K,PI3K
PI3K p110 alpha,PI3K p110 alpha
PI3K/Akt,PI3K/Akt
PI3K/Akt pathway,PI3K/Akt
PI3K/Akt signaling pathway,PI3K/Akt
PI3K/Akt/eNOS,PI3K/Akt/eNOS
PI3K/AKT/mTOR pathway,PI3K/AKT/mTOR pathway
PIAS1,PIAS1
Piezo1,Piezo1
PIM,PIM
PIM1,PIM1
PI-PLC,PI-PLC
PKA,PKA
PKC alpha,PKC alpha
PKC inhibitor,PKC inhibitor
PKC pathway,PKC pathway
PLA(2)G5,PLA(2)G5
Plasma,Plasma
plasma,plasma
plasminogen activator inhibitor 1,plasminogen activator inhibitor 1
plasminogen activator inhibitor-1,plasminogen activator inhibitor 1
Plasmodium,Plasmodium
platelet,platelet
Platelet activating factor,Platelet activating factor
platelet-endothelial cell adhesion molecule,platelet-endothelial cell adhesion molecule
Platelets,platelet
platelets,platelet
plexin C1,plexin C1
PMN,PMN
PMN extravasation,PMN extravasation
PMVEC,pulmonary microvascular endothelial cell
PMVECs,pulmonary microvascular endothelial cell
pneumococcal pneumonia,pneumococcal pneumonia
Pneumococcal pneumonia,pneumococcal pneumonia
Pneumocytes,Pneumocytes
Pneumolysin,pneumolysin
pneumolysin,pneumolysin
pneumonia,pneumonia
Pneumonia,pneumonia
poisoning,poisoning
polymer micelles,polymer micelles
polymorphism,polymorphism
polymorphonuclear neutrophil,polymorphonuclear neutrophil
Polymorphonuclear neutrophils,polymorphonuclear neutrophil
Polyphyllin I,Polyphyllin I
porcine reproductive and respiratory syndrome virus (PRRSV),porcine reproductive and respiratory syndrome virus (PRRSV)
porous silicon,porous silicon
Post ARDS pulmonary fibrosis,Post ARDS pulmonary fibrosis
Postoperative period,Postoperative period
posttranslational,posttranslational
Post-translational Modification,Post-translational Modification
Post-translational modifications,Post-translational Modification
PP2A,Thr protein phosphatase 2A
Pravastatin,Pravastatin
Prdx6 phosphorylation,Prdx6 phosphorylation
pre-B cell colony-enhancing factor,pre-B cell colony-enhancing factor
preconditioning,preconditioning
preterm neonates,preterm neonates
prevention,prevention
primary graft dysfunction,primary graft dysfunction
primary human lung cells,primary human lung cells
priming,priming
Pristimerin,Pristimerin
PRNCR1,PRNCR1
progenitor cells,progenitor cells
Prognosis,Prognosis
programmed cell death,programmed cell death
Pro-inflammatory factor,Pro-inflammatory factor
proinflammatory mediators,proinflammatory mediators
Proliferation,proliferation
proliferation,proliferation
promoter,promoter
promoter activity,promoter activity
propofol,propofol
prostaglandin F-2 alpha (PGF(2 alpha)),prostaglandin F-2 alpha (PGF(2 alpha))
prostanoid EP receptor,prostanoid EP receptor
Protective autophagy,Protective autophagy
protein C,protein C
Protein kinase C,protein kinase C
protein kinase C,protein kinase C
Protein kinase C-delta,Protein kinase C-delta
protein kinase G,protein kinase G
protein processing,protein processing
Protein Structure,Protein Structure
protein tyrosine phosphatase non-receptor type 14 (PTPN14),protein tyrosine phosphatase non-receptor type 14 (PTPN14)
proteome,proteome
proteomics,proteomics
P-selectin,P-selectin
Pseudomonas aeruginosa,Pseudomonas aeruginosa
PTEN,PTEN
PTP1B,PTP1B
PTX,PTX
pulmonary,pulmonary
Pulmonary,pulmonary
pulmonary angiogenesis,pulmonary angiogenesis
pulmonary arterial hypertension,pulmonary arterial hypertension
pulmonary artery,pulmonary artery
pulmonary artery endothelial cells,pulmonary artery endothelial cells
Pulmonary barrier dysfunction,Pulmonary barrier dysfunction
pulmonary biology,pulmonary biology
pulmonary capillary,pulmonary capillary
pulmonary capillary endothelial cells,pulmonary capillary endothelial cells
pulmonary capillary vessels,pulmonary capillary vessel
pulmonary circulation,pulmonary circulation
pulmonary disease,pulmonary disease
pulmonary EC,pulmonary endothelial cell
pulmonary edema,pulmonary edema
Pulmonary edema,pulmonary edema
pulmonary embolism,pulmonary embolism
pulmonary endothelial barrier,pulmonary endothelial barrier
Pulmonary endothelial barrier,pulmonary endothelial barrier
pulmonary endothelial cell,pulmonary endothelial cell
pulmonary endothelial cells,pulmonary endothelial cell
Pulmonary endothelial cells,pulmonary endothelial cell
Pulmonary endothelial permeability,pulmonary endothelial permeability
pulmonary endothelial permeability,pulmonary endothelial permeability
Pulmonary endothelium,pulmonary endothelium
pulmonary endothelium,pulmonary endothelium
Pulmonary epithelial cells,pulmonary epithelial cell
pulmonary fibrosis,pulmonary fibrosis
Pulmonary fibrosis,pulmonary fibrosis
pulmonary function,pulmonary function
pulmonary hypertension,pulmonary hypertension
Pulmonary hypertension,pulmonary hypertension
pulmonary hypoplasia,pulmonary hypoplasia
pulmonary inflammation,pulmonary inflammation
Pulmonary inflammation,pulmonary inflammation
pulmonary inflammatory disease,pulmonary inflammation
pulmonary injury,pulmonary injury
pulmonary microvascular endothelial cell,pulmonary microvascular endothelial cell
Pulmonary microvascular endothelial cell,pulmonary microvascular endothelial cell
pulmonary microvascular endothelial cells,pulmonary microvascular endothelial cell
Pulmonary microvascular endothelial cells,pulmonary microvascular endothelial cell
pulmonary microvascular endothelial cells (PMVECs),pulmonary microvascular endothelial cell
Pulmonary microvascular endothelial cells (PMVECs),pulmonary microvascular endothelial cell
Pulmonary microvascular endothelial permeability,Pulmonary microvascular endothelial permeability
pulmonary microvascular endothelium barrier,pulmonary microvascular endothelium barrier
Pulmonary microvascular injury and repair,Pulmonary microvascular injury and repair
Pulmonary microvascular permeability,Pulmonary microvascular permeability
pulmonary mierovascular endothelial cells,pulmonary microvascular endothelial cell
Pulmonary pathology,Pulmonary pathology
pulmonary sarcoidosis,pulmonary sarcoidosis
pulmonary smooth muscle,pulmonary smooth muscle
Pulmonary vascular barrier,Pulmonary vascular barrier
Pulmonary vascular endothelial cell,Pulmonary vascular endothelial cell
Pulmonary vascular endothelial cells,Pulmonary vascular endothelial cell
pulmonary vascular endothelium,pulmonary vascular endothelium
Pulmonary vascular endothelium-targeting,Pulmonary vascular endothelium-targeting
pulmonary vascular leak,pulmonary vascular leak
Pulmonary vascular permeability,Pulmonary vascular permeability
pulmonary vasculature,pulmonary vasculature
PV-1,PV-1
PWV Analysis,PWV Analysis
pyroptosis,pyroptosis
Pyroptosis,pyroptosis
qing yin tang,qing yin tang
qPCR,qPCR
RAAS,RAAS
Rab GTPase,Rab GTPase
RAB26 GTPase,RAB26 GTPase
rabeprazole,rabeprazole
Rac1,Rac1
Radiation lung injury,radiation-induced lung injury
radiation-induced lung injury,radiation-induced lung injury
radiosensitivity,radiosensitivity
RAGE,RAGE
Raltegravir,Raltegravir
Ramelteon,Ramelteon
Rap1,Rap1
rapamycin,rapamycin
ras-related C3 botulinum toxin substrate 1,Rac1
Rat,rat
rat,rat
RBC transfusion,RBC transfusion
RBM3,RBM3
reactive nitrogen species,reactive nitrogen species
Reactive oxygen species,ROS
reactive oxygen species,ROS
Reactive oxygen species (ROS),ROS
reactive oxygen species (ROS),ROS
reactive oxygen species (ROS) genera-,reactive oxygen species (ROS) genera-
receptor,receptor
Receptor interacting protein 140 (RIP140),Receptor interacting protein 140 (RIP140)
receptor subtype-specific mechanism,receptor subtype-specific mechanism
Receptor-interacting protein 3,RIP3
receptors,receptor
Recombinant Protein Expression,Recombinant Protein Expression
Recombinant PSGL-1-Ig fusion protein,Recombinant PSGL-1-Ig fusion protein
recruitment maneuvers,recruitment maneuvers
red blood cells,red blood cells
Redox Regulation,Redox Regulation
Redox-stress,Redox-stress
reduced albumin,reduced albumin
regeneration,regeneration
Regeneration,regeneration
regioisomer,regioisomer
regulatory T-cells,regulatory T-cells
remifentanil,remifentanil
Remodeling,Remodeling
Renal ischemia-reperfusion,Renal ischemia-reperfusion
renin-angiotensin system,renin-angiotensin system
Renin-angiotensin system (RAS),renin-angiotensin system
Repair,repair
repair,repair
reperfusion,reperfusion
resealing,resealing
respiratory disease,respiratory disease
respiratory distress syndrome,respiratory distress syndrome
respiratory distress syndrome (adult),"respiratory distress syndrome, adult"
"Respiratory distress syndrome, adult","respiratory distress syndrome, adult"
"Respiratory Distress Syndrome, Adult","respiratory distress syndrome, adult"
"respiratory distress syndrome, adult","respiratory distress syndrome, adult"
respiratory epithelium,respiratory epithelium
Respiratory infection,respiratory infection
respiratory infection,respiratory infection
respiratory mechanics,respiratory mechanics
respiratory system,respiratory system
Respiratory virus,Respiratory virus
Retinal arterioles,Retinal arterioles
Reverse D-4F,Reverse D-4F
review,review
Rhamnocitrin,Rhamnocitrin
rhAPC,rhAPC
Rho,Rho
Rho (Rho GTPase),Rho GTPases
Rho GTPases,Rho GTPases
Rho kinase,Rho-associated protein kinase
Rho kinase inhibitor,Rho kinase inhibitor
Rho/ROCK,Rho/ROCK
Rho/ROCK pathway,Rho/ROCK
RhoA,RhoA
RhoA/ROCK,RhoA/ROCK
RhoA/ROCK signaling pathway,RhoA/ROCK
rho-Associated Kinases,Rho-associated protein kinase
Rho-associated protein kinase,Rho-associated protein kinase
rhodopsin,rhodopsin
RhoGDI,RhoGDI
Rho-kinase,Rho-associated protein kinase
RIP3,RIP3
rivaroxaban,rivaroxaban
RNA interference,RNA interference
RNA-Seq,RNA-Seq
Robo4,Robo4
ROCK,ROCK
ROCK1,ROCK1
ROCK2,ROCK2
root extract,root extract
ROS,ROS
ROS accumulation,ROS accumulation
ROS signaling,ROS signaling
Rosiglitazone,Rosiglitazone
Runx1 isoforms,Runx1 isoforms
Ruscogenin,Ruscogenin
sACE2,sACE2
Salbutamol,Salbutamol
Saquinavir,Saquinavir
SARS virus,SARS-CoV-2
SARS-COV-2,SARS-CoV-2
SARS-CoV-2,SARS-CoV-2
sartans,sartans
SB203580,SB203580
sCD40L,sCD40L
seawater,seawater
secretion,secretion
secretory phospholipase A(2),secretory phospholipase A(2)
Segmental lipopolysaccharide (LPS) challenge,Segmental lipopolysaccharide (LPS) challenge
SELPLG promoter activity,SELPLG promoter activity
Sema3A,Sema3A
Semaglutide,Semaglutide
semaphorin 7A,semaphorin 7A
Semaphorin 7A,semaphorin 7A
senescence,senescence
Sepsis,sepsis
sepsis,sepsis
Sepsis-associated acute lung injury,sepsis-induced acute lung injury
Sepsis-induced acute lung injury,sepsis-induced acute lung injury
sepsis-induced acute lung injury,sepsis-induced acute lung injury
Sepsis-induced ALI,sepsis-induced acute lung injury
Septic acute lung injury,sepsis-induced acute lung injury
Ser,Ser
serine proteases,serine proteases
SERP1,SERP1
SET gene,SET gene
Severe acute pancreatitis,severe acute pancreatitis
severe acute pancreatitis,severe acute pancreatitis
Severe Acute Respiratory Syndrome,SARS
Sevoflurane,Sevoflurane
S-Glutathionylation of Src,S-Glutathionylation of Src
SH2 domain-containing protein tyrosine phosphatase 2,SH2 domain-containing protein tyrosine phosphatase 2
shedding,shedding
short interference (si)-RNA,siRNA
shRNA,shRNA
sialic acid,sialic acid
sickle cell disease,sickle cell disease
Signal mechanism,Signal mechanism
signal transducer and activator of transcription 5,STAT5
signal transducer and activator of transcription-3,STAT3
Signal transduction,signal transduction
signal transduction,signal transduction
signaling,signaling
signaling mechanisms,signaling mechanism
Signaling pathway,signaling pathway
signaling pathway,signaling pathway
silencing,silencing
Simvastatin,simvastatin
simvastatin,simvastatin
simvastatin delivery,simvastatin delivery
single-cell RNA sequencing,single-cell RNA sequencing
Single-cell RNA sequencing,single-cell RNA sequencing
single-cell RNA-sequencing,single-cell RNA sequencing
siRNA,small interfering RNA
Sirt1,SIRT1
SIRT1,SIRT1
SIRT1 protein,SIRT1
SIRT3,SIRT3
Sirtuin,Sirtuin
sitagliptin,sitagliptin
Sivelestat,Sivelestat
Sivelestat sodium (SIV),Sivelestat
skeletal rearrangement,skeletal rearrangement
SLC-0111,SLC-0111
Slit2,Slit2
SMAD2,SMAD2
SMAD7,SMAD7
Small extracellular vesicles,Small extracellular vesicles
small interfering RNA,small interfering RNA
small RNA,small RNA
Smoke inhalation,smoke inhalation
smoke inhalation,smoke inhalation
SND,SND
SNHG3,SNHG3
S-nitrosoalbumin,S-nitrosoalbumin
S-nitrosylation,S-nitrosylation
SOCE,store-operated calcium entry
SOCs,SOCs
soluble adenylate cyclase,soluble adenylate cyclase
soluble adenylyl cyclase,soluble adenylate cyclase
Soluble cluster of differentiation 74,Soluble cluster of differentiation 74
soluble fractalkine,soluble fractalkine
Sonic hedgehog,Sonic hedgehog
Sox9,Sox9
Sp1,Sp1
sphingolipids,sphingolipids
sphingomyelin synthase,sphingomyelin synthase
S1P,sphingosine-1-phosphate
S1P lyase,sphingosine-1-phosphate lyase
S1P receptors,sphingosine-1-phosphate receptors
S1p receptors,sphingosine-1-phosphate receptors
S1PR1,sphingosine-1-phosphate receptor 1
S1pr1,sphingosine-1-phosphate receptor 1
Sphingosine 1-phosphate,sphingosine-1-phosphate
sphingosine 1-phosphate,sphingosine-1-phosphate
sphingosine 1-phosphate receptor 1,sphingosine-1-phosphate receptor 1
sphingosine kinase,sphingosine kinase
sphingosine kinase 1,sphingosine kinase 1
Sphingosine-1-phosphate,sphingosine-1-phosphate
sphingosine-1-phosphate,sphingosine-1-phosphate
sphingosine-1-phosphate lyase,sphingosine-1-phosphate lyase
sphingosine-1-phosphate receptor 2,sphingosine-1-phosphate receptor 2
sphingosine-1-phosphate receptor-3,sphingosine-1-phosphate receptor 3
spike protein,spike protein
spironolactone and dexamethasone,spironolactone and dexamethasone
sPLA(2)-V,sPLA(2)-V
splicing,splicing
Src,Src
SRC,Src
Src protein tyrosine kinase,Src
Src signaling,Src signaling
Src/VE-Cadherin pathway,Src/VE-Cadherin pathway
Src-suppressed C kinase substrate,Src-suppressed C kinase substrate
SRPK1,SRPK1
SRT1720,SRT1720
Stanford type-A acute aortic dissection,Stanford type-A acute aortic dissection
stanniocalcin,stanniocalcin
Staphylococcus aureus,Staphylococcus aureus
Staphylococcus aureus (S,Staphylococcus aureus
Staphylococcus aureus enterotoxin,Staphylococcus aureus enterotoxin
STAT3,STAT3
STAT3 pathway,STAT3 pathway
STAT3 Transcription Factor,STAT3 Transcription Factor
statins,statins
Statins,statins
STEAP1,STEAP1
Steen solution,Steen solution
Stem cell therapy,Stem cell therapy
Stem cell transplantation,Stem cell therapy
Stem/progenitor cells,stem/progenitor cell
STING,STING
store-operated calcium entry,store-operated calcium entry
Stress fibers,Stress fibers
stretch,stretch
stromal interacting molecule 1,stromal interacting molecule 1
Stromelysin1,MMP3
stromelysin-1,MMP3
SU5416,SU5416
sub-phenotypes,sub-phenotypes
substrate stiffness,substrate stiffness
sulfatase 2,sulfatase 2
Sulforaphane,Sulforaphane
sulfur dioxide,sulfur dioxide
superinfection,superinfection
Superoxide Ion,Superoxide Ion
Surface charge,Surface charge
surface modification,surface modification
Surfactants,Surfactants
survival,survival
survival and homing,survival and homing
sweet taste,sweet taste
Syndecan-1,Syndecan-1
systemic disease,systemic disease
Systemic inflammation,Systemic inflammation
Systemic inflammatory response,Systemic inflammatory response
T cells,T cells
T helper cell immune responses,T helper cell immune responses
T1R3,T1R3
target genes,target genes
Targeted drug delivery,Targeted drug delivery
targeted drugs,targeted drugs
targeted therapy,targeted therapy
targeting ability,targeting ability
Targeting strategy,Targeting strategy
tau,tau
Technique,Technique
Telocyte,Telocyte
telocytes,telocytes
TEM,TEM
TER,TER
terbutaline,terbutaline
tert-butyl hydroperoxide,tert-butyl hydroperoxide
tetramethylpyrazine,tetramethylpyrazine
Tetramethylpyrazine,Tetramethylpyrazine
TGF-beta 1,TGF-beta 1
TGF-beta signaling,TGF-beta signaling
TGFBR3,TGFBR3
therapeutic targets,therapeutic targets
therapy,therapy
theta defensin,theta defensin
thiourea,thiourea
Thr protein phosphatase 1,Thr protein phosphatase 1
Thr protein phosphatase 2A,Thr protein phosphatase 2A
thrombin,thrombin
Thrombin,Thrombin
thrombomodulin,thrombomodulin
thrombosis,thrombosis
thromboxane,thromboxane
ticagrelor,ticagrelor
Tie1,Tie1
Tie-1,Tie1
Tie2,Tie2
Tie-2,Tie2
tight junction,tight junction
Tight junction,tight junction
tight junction protein,tight junction protein
Tight junction protein,tight junction protein
Tight junction proteins,tight junction protein
tight junction proteins,tight junction protein
Tight junctions,tight junction
tight junctions,tight junction
tight junctions (TJs),tight junction
TIMP-1,TIMP-1
tissue damage,tissue damage
tissue factor,tissue factor
tissue factor pathway inhibitor,tissue factor pathway inhibitor
tissue plasminogen activator,tissue plasminogen activator
TLR2,TLR2
TLR4,toll like receptor 4
TMP269,TMP269
TNF,tumor necrosis factor
TNF-a,tumor necrosis factor-alpha
TNFAIP3,TNFAIP3
TNF-alpha,tumor necrosis factor-alpha
TNFR1,tumor necrosis factor receptor-1
tobacco,tobacco
Tocilizumab,tocilizumab
tocilizumab,tocilizumab
tolerance,tolerance
Toll -like receptor,toll-like receptor
toll like receptor 4,toll like receptor 4
Toll-like receptor 4 (TLR4),toll like receptor 4
Toll-like receptors,toll-like receptor
Topoisomerase II alpha,Topoisomerase II alpha
TRAF6-mediated pathway,TRAF6-mediated pathway
TRALI,transfusion-related acute lung injury
Tranilast,Tranilast
transcript regulation,transcript regulation
transcription factor,transcription factor
transcription factors,transcription factor
transcriptional regulation,transcriptional regulation
transcriptional repression,transcriptional repression
transcriptome,transcriptome
transcriptome analysis,transcriptome analysis
transcriptomics,transcriptomics
transcriptomics and bioinformatics,transcriptomics and bioinformatics
transcytosis,transcytosis
Transendothelial migration,Transendothelial migration
transendothelial resistance,transendothelial resistance
transforming growth factor-beta receptor type 2 (TGF-beta-R2),transforming growth factor-beta receptor type 2 (TGF-beta-R2)
Transfusion,transfusion
transfusion,transfusion
Transfusion medicine,transfusion
transfusion-related acute lung injury,transfusion-related acute lung injury
Transfusion-related acute lung injury,transfusion-related acute lung injury
transfusion-related acute lung injury (TRALI),transfusion-related acute lung injury
Transient receptor potential vanilloid 4 (TRPV4),Transient receptor potential vanilloid 4 (TRPV4)
translational outcomes,translational outcome
translational research,translational research
transmigration,transmigration
Trans-migration,transmigration
Transmission electron microscopy,Transmission electron microscopy
transwell co-cultures,transwell co-cultures
Trauma,trauma
trauma,trauma
Trauma and injury,trauma
trauma/hemorrhagic shock,trauma/hemorrhagic shock
treatment,treatment
Treatment,treatment
tripartite motif containing 37,tripartite motif containing 37
Tripterygium hypoglaucum,Tripterygium hypoglaucum
Trogocytosis,Trogocytosis
TRPC,TRPC
TRPV4,Transient receptor potential vanilloid 4 (TRPV4)
TSGL-Ig,TSGL-Ig
TTP-like syndrome,TTP-like syndrome
tubulin,tubulin
TUG1,TUG1
tumor necrosis factor,tumor necrosis factor
tumor necrosis factor a,tumor necrosis factor-alpha
tumor necrosis factor receptor type I,tumor necrosis factor receptor-1
tumor necrosis factor receptor-1,tumor necrosis factor receptor-1
tumor necrosis factor-alpha,tumor necrosis factor-alpha
Tumor necrosis factor-alpha,tumor necrosis factor-alpha
TUNEL assay,TUNEL assay
Tunneling nanotubes,tunneling nanotube
Two-hit,Two-hit
two-hit ALI,two-hit ALI
two-hit model,two-hit model
Txnip,Txnip
type 2 alveolar epithelial cells,type 2 alveolar epithelial cell
tyrosine kinase,tyrosine kinase
ubiquitin E3 ligase,ubiquitin E3 ligase
ubiq-uitination,ubiq-uitination
Ubiquitin-specific protease 18,Ubiquitin-specific protease 18
ulinastatin,ulinastatin
Ulinastatin (UTI),ulinastatin
ultrastructure,ultrastructure
Unc-51 like autophagy activating kinase 1,Unc-51 like autophagy activating kinase 1
Unfolded protein response,Unfolded protein response
unfolded protein response,unfolded protein response
Unfractionated heparin,Unfractionated heparin
Urea-correction,Urea-correction
ursodeoxycholic acid,ursodeoxycholic acid
USA300,USA300
vagal stimulation,vagal stimulation
Vascular,vascular
vascular,vascular
Vascular barrier,vascular barrier
vascular barrier,vascular barrier
Vascular barrier dysfunction,Vascular barrier dysfunction
vascular biology,vascular biology
vascular diseases,vascular disease
Vascular diseases,vascular disease
Vascular endothelial barrier,Vascular endothelial barrier
Vascular endothelial cadherin,VE-cadherin
vascular endothelial cadherin,VE-cadherin
vascular endothelial cell,vascular endothelial cell
vascular endothelial cell (VEC),vascular endothelial cell
Vascular endothelial cells,vascular endothelial cell
vascular endothelial cells,vascular endothelial cell
Vascular endothelial dysfunction,Vascular endothelial dysfunction
vascular endothelial glycocalyx,vascular endothelial glycocalyx
Vascular endothelial growth factor,VEGF
Vascular endothelial growth factor (VEGF),VEGF
vascular endothelial growth factor (VEGF),VEGF
Vascular endothelial growth factor a (VEGFa),VEGFA
vascular endothelial-cadherin,VE-cadherin
vascular endothelium,vascular endothelium
Vascular endothelium,vascular endothelium
Vascular inflammation,vascular inflammation
vascular inflammation,vascular inflammation
Vascular injury,Vascular injury
vascular integrity,vascular integrity
Vascular integrity,vascular integrity
vascular leak,vascular leakage
Vascular leak,vascular leakage
vascular leakage,vascular leakage
Vascular leakage,vascular leakage
vascular microthrombotic disease (VMTD),vascular microthrombotic disease (VMTD)
Vascular permeability,vascular permeability
vascular permeability,vascular permeability
Vascular reactivity,Vascular reactivity
vascular regeneration,vascular regeneration
vascular remodeling,vascular remodeling
vascular repair,vascular repair
vascular targeting,vascular targeting
Vasculature,Vasculature
Vasculotide,Vasculotide
vasoconstriction,vasoconstriction
vasodilation,vasodilation
vasomotion,vasomotion
vaspin,vaspin
VE-cadherin,VE-cadherin
VE-Cadherin,VE-cadherin
VEGF,VEGF
VEGFA,VEGFA
veno-occlusive disease,veno-occlusive disease
Ventilation-induced lung injury,ventilator-induced lung injury
Ventilator-induced lung injury,ventilator-induced lung injury
ventilator-induced lung injury,ventilator-induced lung injury
ventilator-induced lung injury (VILI),ventilator-induced lung injury
VE-PTP,VE-PTP
Verdiperstat,Verdiperstat
Vessel permeability,Vessel permeability
Vessel type,Vessel type
Viability,Viability
VILI,ventilator-induced lung injury
Viola diffusa,Viola diffusa
viral vector,viral vector
virus,virus
von Willebrand factor,von Willebrand factor
wearability,wearability
whole lung tissue engineering,whole lung tissue engineering
Wnt,Wnt
wound healing,wound healing
wound healing assay,wound healing assay
XBP-1S,XBP-1S
XBP-1U,XBP-1U
XIST,XIST
Xuebijing Injection,Xuebijing Injection
Y-27632,Y-27632
Yes-associated protein,Yes-associated protein
zinc finger E-box binding homeobox 1,zinc finger E-box binding homeobox 1
ZO-1,zonula occludens 1
zonula occludens 1,zonula occludens 1
zonula occludens-1 protein,zonula occludens 1
zonulae occludente 1,zonula occludens 1
zymosan,zymosan
#NAME?,#NAME?
